year,month,average
1980,1,338.55
1980,2,339.27
1980,3,339.6
1980,4,339.99
1980,5,340.44
1980,6,339.99
1980,7,338.44
1980,8,337.21
1980,9,337.05
1980,10,337.82
1980,11,338.93
1980,12,339.64
1981,1,340.18
1981,2,340.75
1981,3,341.38
1981,4,341.68
1981,5,341.43
1981,6,340.62
1981,7,339.22
1981,8,338.08
1981,9,337.98
1981,10,339.07
1981,11,340.18
1981,12,340.75
1982,1,341.37
1982,2,341.95
1982,3,342.23
1982,4,342.52
1982,5,342.36
1982,6,341.49
1982,7,339.75
1982,8,338.11
1982,9,338.16
1982,10,339.62
1982,11,340.95
1982,12,341.77
1983,1,342.37
1983,2,342.74
1983,3,343.04
1983,4,343.51
1983,5,343.84
1983,6,343.5
1983,7,342.14
1983,8,340.62
1983,9,340.53
1983,10,341.75
1983,11,342.83
1983,12,343.49
1984,1,344.32
1984,2,344.82
1984,3,344.96
1984,4,345.19
1984,5,345.33
1984,6,344.57
1984,7,343.2
1984,8,342.21
1984,9,342.13
1984,10,342.99
1984,11,344.16
1984,12,345
1985,1,345.35
1985,2,345.8
1985,3,346.64
1985,4,346.94
1985,5,346.78
1985,6,346.26
1985,7,344.92
1985,8,343.41
1985,9,343.37
1985,10,344.64
1985,11,345.79
1985,12,346.55
1986,1,347.11
1986,2,347.34
1986,3,347.71
1986,4,348.22
1986,5,348.32
1986,6,347.76
1986,7,346.3
1986,8,344.92
1986,9,344.86
1986,10,346.04
1986,11,347.3
1986,12,347.76
1987,1,348.02
1987,2,348.57
1987,3,349.29
1987,4,349.98
1987,5,350.26
1987,6,349.48
1987,7,347.86
1987,8,346.62
1987,9,346.7
1987,10,347.97
1987,11,349.25
1987,12,350.21
1988,1,350.91
1988,2,351.47
1988,3,351.85
1988,4,352.29
1988,5,352.46
1988,6,351.76
1988,7,350.28
1988,8,349.1
1988,9,349.27
1988,10,350.44
1988,11,351.61
1988,12,352.46
1989,1,353
1989,2,353.46
1989,3,354.01
1989,4,354.38
1989,5,354.19
1989,6,353.26
1989,7,351.56
1989,8,350.21
1989,9,350.56
1989,10,351.85
1989,11,353.03
1989,12,353.9
1990,1,354.46
1990,2,354.87
1990,3,355.19
1990,4,355.5
1990,5,355.4
1990,6,354.32
1990,7,352.71
1990,8,351.59
1990,9,351.8
1990,10,353.19
1990,11,354.43
1990,12,355.18
1991,1,355.76
1991,2,356.19
1991,3,356.68
1991,4,357.19
1991,5,357.11
1991,6,356.17
1991,7,354.53
1991,8,353.06
1991,9,352.93
1991,10,354
1991,11,355.16
1991,12,355.95
